id,identifikator,kategorie,koordinaten,webseite,funktion,name,adresse,postleitzahl,stadtviertel,oeffnungszeiten,rollstuhlgerechtigkeit,rollstuhlbeschreibung,old_identifikator,fakten
1,Egon-Eiermann-Hörsaal,Hörsaal,"['49.01097', '8.41095']",,,Architektur,Englerstraße 7,76131.0,Innenstadt-Ost,,yes,Rollstuhlrampe auf der Rückseite des Gebäudes. Aufzug befindet sich links. Behindertengerechten Toiletteim UG nähe Rampe,Egon-Eiermann-Hörsaal (20.40),
2,Sport-Hörsaal,Hörsaal,"['49.01580', '8.41636']",,,,Engler-Bunte-Ring 15,76131.0,Innenstadt-Ost,,yes,,Sport-Hörsaal (40.40),
3,Hochspannungstechnik-Hörsaal,Hörsaal,"['49.01197', '8.41272']",,,Hochspannungstechnik,Engesserstraße 11b,76131.0,Innenstadt-Ost,,,,Hochspannungstechnik-Hörsaal (30.35),
4,Johann-Gottfried-Tulla-Hörsaal,Hörsaal,"['49.01023', '8.41187']",,,Kollegiengebäude am Ehrenhof,Englerstraße 11,76131.0,Innenstadt-Ost,,,,Johann-Gottfried-Tulla-Hörsaal (11.40),
5,Hörsaal am Fasanengarten,Hörsaal,"['49.01472', '8.42042']",,,Hörsaal am Fasanengarten,Gotthard-Franz-Straße 7,76131.0,Oststadt,,yes,,Hörsaal am Fasanengarten (50.35),
6,Otto-Lehmann-Hörsaal,Hörsaal,"['49.01242', '8.41073']",,Bibliothek,Fachbibliothek Physik,Engesserstraße,76131.0,Innenstadt-Ost,Mo-Fr 09:00-19:00; Sa 09:00-12:30,yes,,Otto-Lehmann-Hörsaal (30.22),
7,Friedrich-Engesser-Hörsaal,Hörsaal,"['49.01014', '8.41554']",,,Altes Bauingenieurgebäude,Otto-Ammann-Platz 1,76131.0,Innenstadt-Ost,,,,Friedrich-Engesser-Hörsaal (10.81),
9,Kleiner Hörsaal Elektrotechnik,Hörsaal,"['49.01065', '8.41281']",,,Elektrotechnisches Institut,Engelbert-Arnold-Straße 5,76131.0,Innenstadt-Ost,,no,,Kleiner Hörsaal Elektrotechnik (11.10),
10,Lichttechnik-Hörsaal,Hörsaal,"['49.01212', '8.41304']",,,Institutsgebäude Lichttechnik,Engesserstraße 13,76131.0,Innenstadt-Ost,,,,Lichttechnik-Hörsaal (30.34),
11,Großer Hörsaal Bauingenieure,Hörsaal,"['49.00962', '8.41700']",,Auditorium,Bauingenieure - Großer Hörsaal,Ernst-Gaber-Straße,76131.0,Innenstadt-Ost,,,,Großer Hörsaal Bauingenieure (10.50),
12,Carl-Benz-Hörsaal,Hörsaal,"['49.00946', '8.41343']",,,,Wilhelm-Nusselt-Weg 2,76131.0,Innenstadt-Ost,,yes,,Carl-Benz-Hörsaal (10.21),
13,Franz-Grashof-Hörsaal,Hörsaal,"['49.00994', '8.41329']",,,Altes Maschinenbaugebäude,Engelbert-Arnold-Straße 4,76131.0,Innenstadt-Ost,,,,Franz-Grashof-Hörsaal (10.91),
14,Architektur-Hörsaal 9,Hörsaal,"['49.01097', '8.41095']",,,Architektur,Englerstraße 7,76131.0,Innenstadt-Ost,,yes,Rollstuhlrampe auf der Rückseite des Gebäudes. Aufzug befindet sich links. Behindertengerechten Toiletteim UG nähe Rampe,Architektur-Hörsaal 9 (20.40),
15,Engelbert-Arnold-Hörsaal,Hörsaal,"['49.01064', '8.41281']",,,Elektrotechnisches Institut,Engelbert-Arnold-Straße 5,76131.0,Innenstadt-Ost,,no,,Engelbert-Arnold-Hörsaal (11.10),
16,Ferdinand-Redtenbacher-Hörsaal,Hörsaal,"['49.00992', '8.41283']",,,Altes Maschinenbaugebäude,Engelbert-Arnold-Straße 4,76131.0,Innenstadt-Ost,,,,Ferdinand-Redtenbacher-Hörsaal (10.91),
17,Nachrichtentechnik-Hörsaal,Hörsaal,"['49.01271', '8.40944']",,,Institutsgebäude Nachrichtentechnik,Engesserstraße 5,76131.0,Innenstadt-Ost,,,,Nachrichtentechnik-Hörsaal (30.10),
19,Messtechnik-Hörsaal,Hörsaal,"['49.01231', '8.41322']",,Auditorium,MTI-Hörsaal,Fritz-Haber-Weg,76131.0,Innenstadt-Ost,,,,Messtechnik-Hörsaal (30.33),
20,Christian-Gerthsen-Hörsaal,Hörsaal,"['49.01243', '8.41157']",,Auditorium,Gerthsen-Hörsaal,Wolfgang-Gaede-Straße,76131.0,Innenstadt-Ost,,,,Christian-Gerthsen-Hörsaal (30.21),
21,Gottlieb-Daimler-Hörsaal,Hörsaal,"['49.00946', '8.41343']",,,,Wilhelm-Nusselt-Weg 2,76131.0,Innenstadt-Ost,,yes,,Gottlieb-Daimler-Hörsaal (10.21),
22,Audimax,Hörsaal,"['49.01271', '8.41573']",,,Hörsaalgebäude am Forum - Audimax,Straße am Forum 1,76131.0,Innenstadt-Ost,,yes,,Audimax (30.95),
24,Wolfgang-Gaede-Hörsaal,Hörsaal,"['49.01256', '8.41039']",,,Physik-Flachbau,Engesserstraße 7,76131.0,Innenstadt-Ost,,,,Wolfgang-Gaede-Hörsaal (30.22),
25,Physik-Hörsaal Nr. 3,Hörsaal,"['49.01242', '8.41071']",,Bibliothek,Fachbibliothek Physik,Engesserstraße,76131.0,Innenstadt-Ost,Mo-Fr 09:00-19:00; Sa 09:00-12:30,yes,,Physik-Hörsaal Nr. 3 (30.22),
26,Heinrich-Hertz-Hörsaal,Hörsaal,"['49.00948', '8.41292']",,,Verwaltungsgebäude,Kaiserstraße 12,76131.0,Innenstadt-Ost,,,,Heinrich-Hertz-Hörsaal (10.11),
28,Chemie-Hörsaal I,Hörsaal,"['49.01260', '8.41385']",,,Chemie-Flachbau,Fritz-Haber-Weg 2-6,76131.0,Innenstadt-Ost,,,,Chemie-Hörsaal I (30.41),
29,Rudolf-Criegee-Hörsaal,Hörsaal,"['49.01260', '8.41385']",,,Chemie-Flachbau,Fritz-Haber-Weg 2-6,76131.0,Innenstadt-Ost,,,,Rudolf-Criegee-Hörsaal (30.41),
30,Rudolf-Plank-Hörsaal,Hörsaal,"['49.01457', '8.41734']",,,,Engler-Bunte-Ring 21,76131.0,Innenstadt-Ost,,,,Rudolf-Plank-Hörsaal (40.32),
31,10.21,,"['49.00945', '8.41346']",,,,Wilhelm-Nusselt-Weg 2,76131.0,Innenstadt-Ost,,yes,,10.21,
32,10.23,,"['49.00937', '8.41428']",,,Kollegiengebäude Maschinenbau II,Kaiserstraße 10,76131.0,Innenstadt-Ost,,yes,,10.23,
33,40.27,,"['49.01437', '8.41573']",,,Laborhalle Boden- und Felsmechanik,Engler-Bunte-Ring 2,76131.0,Innenstadt-Ost,,,,40.27,
34,30.43,,"['49.01237', '8.41451']",,,Chemie-Turm I,Fritz-Haber-Weg 4,76131.0,Innenstadt-Ost,,,,30.43,
35,40.18,,"['49.01550', '8.41484']",,,,Engler-Bunte-Ring 11c,76131.0,Innenstadt-Ost,,,,40.18,
36,40.19,,"['49.01448', '8.41445']",,,,Engler-Bunte-Ring 5,76131.0,Innenstadt-Ost,,,,40.19,
37,20.54,,"['49.01195', '8.40923']",,Ärzte,Medizinische Dienste Campus Süd,Neuer Zirkel 1,76131.0,Innenstadt-Ost,"Mo-Fr 7:30-9:30, 12:00-14:00, 18:00-21:00; Sa,Su,PH off",,,20.54,
38,20.52,,"['49.01224', '8.40929']",,,Winkelwohnblock E6,Engesserstraße 6,76131.0,Innenstadt-Ost,,,,20.52,
39,20.53,,"['49.01217', '8.40900']",,,Winkelwohnblock E4,Engesserstraße 4,76131.0,Innenstadt-Ost,,,,20.53,
40,20.50,,"['49.01240', '8.40874']",,,Winkelwohnblock E2,Engesserstraße 2,76131.0,Innenstadt-Ost,,,,20.50,
41,20.51,,"['49.01230', '8.40904']",,Küche,,Engesserstraße 105,76131.0,Innenstadt-Ost,,,,20.51,
42,40.11,,"['49.01400', '8.41489']",,,Engler-Bunte-Institut (EBI),Engler-Bunte-Ring 1a,76131.0,Innenstadt-Ost,,,,40.11,
43,40.12,,"['49.01436', '8.41486']",,,,Engler-Bunte-Ring 3,76131.0,Innenstadt-Ost,,,,40.12,
44,40.13,,"['49.01471', '8.41518']",,,,Engler-Bunte-Ring 7,76131.0,Innenstadt-Ost,,,,40.13,
