id,title,category,aliasList,positionList,url
1,Egon-Eiermann-Hörsaal (20.40),lecturehall,[],"['49.01097', '8.41095']",
2,Sport-Hörsaal (40.40),lecturehall,[],"['49.01580', '8.41636']",
3,Hochspannungstechnik-Hörsaal (30.35),lecturehall,[],"['49.01197', '8.41272']",
4,Johann-Gottfried-Tulla-Hörsaal (11.40),lecturehall,[],"['49.01023', '8.41187']",
5,Hörsaal am Fasanengarten (50.35),lecturehall,[],"['49.01472', '8.42042']",
6,Otto-Lehmann-Hörsaal (30.22),lecturehall,[],"['49.01242', '8.41073']",
7,Friedrich-Engesser-Hörsaal (10.81),lecturehall,[],"['49.01014', '8.41554']",
9,Kleiner Hörsaal Elektrotechnik (11.10),lecturehall,[],"['49.01065', '8.41281']",
10,Lichttechnik-Hörsaal (30.34),lecturehall,[],"['49.01212', '8.41304']",
11,Großer Hörsaal Bauingenieure (10.50),lecturehall,[],"['49.00962', '8.41700']",
12,Carl-Benz-Hörsaal (10.21),lecturehall,[],"['49.00946', '8.41343']",
13,Franz-Grashof-Hörsaal (10.91),lecturehall,[],"['49.00994', '8.41329']",
14,Architektur-Hörsaal 9 (20.40),lecturehall,[],"['49.01097', '8.41095']",
15,Engelbert-Arnold-Hörsaal (11.10),lecturehall,[],"['49.01064', '8.41281']",
16,Ferdinand-Redtenbacher-Hörsaal (10.91),lecturehall,[],"['49.00992', '8.41283']",
17,Nachrichtentechnik-Hörsaal (30.10),lecturehall,[],"['49.01271', '8.40944']",
19,Messtechnik-Hörsaal (30.33),lecturehall,[],"['49.01231', '8.41322']",
20,Christian-Gerthsen-Hörsaal (30.21),lecturehall,[],"['49.01243', '8.41157']",
21,Gottlieb-Daimler-Hörsaal (10.21),lecturehall,[],"['49.00946', '8.41343']",
22,Audimax (30.95),lecturehall,[],"['49.01271', '8.41573']",
24,Wolfgang-Gaede-Hörsaal (30.22),lecturehall,[],"['49.01256', '8.41039']",
25,Physik-Hörsaal Nr. 3 (30.22),lecturehall,[],"['49.01242', '8.41071']",
26,Heinrich-Hertz-Hörsaal (10.11),lecturehall,[],"['49.00948', '8.41292']",
28,Chemie-Hörsaal I (30.41),lecturehall,[],"['49.01260', '8.41385']",
29,Rudolf-Criegee-Hörsaal (30.41),lecturehall,[],"['49.01260', '8.41385']",
